index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
0581e7063b6130e456abf2a38d4203a4,2025-11-02T10:45:22Z,'avalanche mountain',www.yahoo.com,en,0.0,5 German mountaineers die in northern Italy after being hit by avalanche,"Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday.  “They had been dragged to the...",https://www.yahoo.com/news/articles/5-german-mountaineers-die-northern-104522675.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,,"ROME (AP) Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday.
Three victims two men and a woman had already been recovered dead … [+1442 chars]",
767e9e9bc1dfed47f435c40db365d27c,2025-11-02T11:27:53Z,'avalanche snow',www.irishtimes.com,en,0.0,Five German climbers killed in Italian Alps avalanche,Members of two rope teams swept away by snow and ice,https://www.irishtimes.com/world/europe/2025/11/02/five-german-climbers-killed-in-italian-alps-avalanche/,https://www.irishtimes.com/resizer/v2/G3WVACTC3B5CATRSWGAIS5QDJA.jpg?smart=true&auth=dd9d8ba7dc9ec9b55604c0399f7444fa34f3520f0fbf14558dfb8e47f424efe3&width=1200&height=630,,"Five German climbers have died after being caught in an avalanche in the Italian Alps, local authorities said on Sunday.
The climbers had set out on Saturday to scale Cima Vertana in the Ortler moun… [+495 chars]",
d6e757100f839c7c6d43f5edb91ee69d,2025-11-02T12:05:29Z,'avalanche mountain',abcnews.go.com,en,0.0,5 German mountaineers die in northern Italy after being hit by avalanche,"Rescuers have confirmed that five German mountaineers died after an avalanche in South Tyrol, northern Italy",https://abcnews.go.com/International/wireStory/5-german-mountaineers-die-northern-italy-after-hit-127104378,https://s.abcnews.com/images/US/abc_news_default_2000x2000_update_16x9_992.jpg,,"ROME -- Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday.
Three victims two men and a woman had already been recovered dead on… [+1440 chars]",
179e98bb53b366bb08c126fc6ba219d7,2025-11-02T12:19:26Z,'avalanche rescue',www.thelocal.de,en,0.0,Five German mountaineers killed in Italian Alps avalanche,"Five German climbers, including a 17-year-old girl, were killed in an avalanche in the Dolomite mountains in Italy on Saturday afternoon, according to mountain rescue services.",https://www.thelocal.de/20251102/five-german-mountaineers-killed-in-italian-alps-avalanche,https://assets.thelocal.com/cdn-cgi/rs:fit:1200/quality:75/plain/https://apiwp.thelocal.com/wp-content/uploads/2025/11/watermarks-logo-aron-marinelli-ZuSzm9vn-fc-unsplash-1.jpg@webp,,"Five German climbers, including a 17-year-old girl, were killed in an avalanche in the Dolomite mountains in Italy on Saturday afternoon, according to mountain rescue services.
 Two groups of climbe… [+703 chars]",
61d65ccc7d490b7cfae770e2ca4053e5,2025-11-02T14:13:00Z,'avalanche rescue',www.newser.com,en,0.0,Avalanche in the Alps Claims 5 Mountaineers,"Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday. Three victims—two men and a woman—had already been recovered dead on Saturday, while the bodies of two other missing people, a man and hi…",https://www.newser.com/story/377941/avalanche-in-the-alps-claims-5-mountaineers.html,https://img1-azrcdn.newser.com/image/1643940-12-20251102081302.jpeg,,"Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday. Three victims—two men and a woman—had already been recovered dead on Saturday… [+1253 chars]",
957eaba0a550c53db744b3ad9c09258e,2025-11-02T15:00:00Z,'avalanche rescue',news.sky.com,en,0.0,Five German mountaineers die and two rescued after avalanche in Italy,The victims were travelling in three groups but rescuers said they didn't know why they were still ascending at a relatively late hour.,https://news.sky.com/story/five-german-mountaineers-die-and-two-rescued-after-avalanche-in-italy-13462642,https://e3.365dm.com/25/11/1600x900/skynews-avalanche-italy_7069785.jpg?20251102150646,,"Five German mountaineers have died in an avalanche in northern Italy.
It hit around 4pm on Saturday near Cima Vertana, in the Ortles mountains, at an altitude of more than 3,500m (11,500ft).
Two me… [+1043 chars]",
1f905fbfd8c03ae86fa36c885bf1b6c1,2025-11-02T15:39:38Z,'avalanche mountain',www.npr.org,en,0.0,5 German mountaineers die in northern Italy after being hit by avalanche,"Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday.",https://www.npr.org/2025/11/02/nx-s1-5594838/german-mountaineers-die-in-northern-italy-after-avalanche,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/2000x1125+0+242/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F38%2Fad%2F79321dcd469c9b32202b48c0d324%2Fap25306444518837.jpg,,"ROME Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday.
Three victims two men and a woman had already been recovered dead on Sa… [+1442 chars]",
f221986a5bd234178c355929a7de2a4f,2025-11-02T15:57:02Z,'avalanche mountain',www.independent.ie,en,0.0,Five mountaineers die after being hit by avalanche in Italy,"Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday.",https://www.independent.ie/world-news/five-mountaineers-die-after-being-hit-by-avalanche-in-italy/a1566023273.html,https://focus.independent.ie/thumbor/MRP_PlDNwkqSxyEsSs0cmtY5HdM=/0x166:2000x1499/629x0/prod-mh-ireland/81fe8f04-cf54-4251-91b4-88919241a02e/7aa11f35-9f1d-4436-829f-a6908df02c5e/81fe8f04-cf54-4251-91b4-88919241a02e.jpg,,"Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday.Three victims two men and a woman had already been recovered on Saturday, whil… [+1411 chars]",
695af7c697099a8f11ce0bf4acabc9f1,2025-11-02T16:34:37Z,'avalanche missing',www.channelnewsasia.com,en,0.0,5 German mountaineers die in northern Italy after being hit by avalanche,"ROME: Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday (Nov 2).Three victims - two men and a woman - had already been recovered dead on Saturday, while the bodies of two other missing peo…",https://www.channelnewsasia.com/world/5-german-mountaineers-die-in-northern-italy-after-being-hit-avalanche-5440656,"https://dam.mediacorp.sg/image/upload/s--OE-e5bHt--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_one-cms:core:watermark:ap_data-1,w_0.1/f_auto,q_auto/v1/one-cms/core/climate_alps_glaciers_photo_gallery_62961.jpg?itok=MY2Acipu",,"ROME: Five German mountaineers died after being hit by an avalanche in South Tyrol, in northern Italy, rescuers said on Sunday (Nov 2).
Three victims - two men and a woman - had already been recover… [+1434 chars]",
41f069891a658f1f065018045a35ce23,2025-11-02T17:29:28Z,'avalanche mountain',www.bbc.com,en,0.0,Avalanche in Italy kills five including father and daughter,Authorities say the five mountaineers who died while scaling Cima Vertana are German.,https://www.bbc.com/news/articles/cp3x4w1g5v3o,https://ichef.bbci.co.uk/news/1024/branded_news/fe65/live/2213c080-b811-11f0-a690-1bcdd48276a7.jpg,http://web.archive.org/web/20251102221553/https://www.bbc.com/news/articles/cp3x4w1g5v3o,"An avalanche in Italy's Dolomite mountains has killed five German climbers, including a 17-year-old girl and her father, according to rescuers. 
The mountaineers, travelling in separate groups, were… [+1465 chars]",
