,phrase,label,sentiment,subjectivity,language,count
two,two,CARDINAL,,,en,58.399999999999956
Tuesday,Tuesday,DATE,,,en,51.99999999999994
Five,Five,CARDINAL,,,en,35.999999999999986
German,German,NORP,,,en,35.39999999999999
one,one,CARDINAL,,,en,31.800000000000015
Saturday,Saturday,DATE,,,en,31.800000000000015
Two,Two,CARDINAL,,,en,31.20000000000002
Friday,Friday,DATE,,,en,31.100000000000016
eight,eight,CARDINAL,,,en,30.10000000000002
Italian,Italian,NORP,,,en,28.400000000000013
Eight,Eight,CARDINAL,,,en,26.900000000000013
Sunday,Sunday,DATE,,,en,26.30000000000001
three,three,CARDINAL,,,en,24.70000000000001
Monday,Monday,DATE,,,en,23.70000000000001
Thursday,Thursday,DATE,,,en,23.100000000000005
2,2,CARDINAL,,,en,22.10000000000001
first,first,ORDINAL,,,en,21.7
Three,Three,CARDINAL,,,en,21.10000000000001
five,five,CARDINAL,,,en,21.000000000000007
winter,winter,DATE,,,en,20.400000000000016
seven,seven,CARDINAL,,,en,20.3
10,10,CARDINAL,,,en,19.90000000000001
Swiss,Swiss,NORP,,,en,19.300000000000008
French,French,NORP,,,en,18.90000000000001
Consent Framework,Consent Framework,WORK_OF_ART,,,en,18.39999999999998
four,four,CARDINAL,,,en,18.200000000000006
six,six,CARDINAL,,,en,17.20000000000001
One,One,CARDINAL,,,en,16.400000000000002
245,245,CARDINAL,,,en,16.399999999999984
nine,nine,CARDINAL,,,en,16.000000000000004
this week,this week,DATE,,,en,15.600000000000005
8,8,CARDINAL,,,en,15.000000000000005
Six,Six,CARDINAL,,,en,13.700000000000005
dozens,dozens,CARDINAL,,,en,13.100000000000003
5,5,CARDINAL,,,en,11.599999999999998
Wednesday,Wednesday,DATE,,,en,11.500000000000002
1,1,MONEY,,,en,10.600000000000001
6,6,CARDINAL,,,en,10.100000000000001
Nepali,Nepali,NORP,,,en,9.700000000000003
15,15,CARDINAL,,,en,9.6
4,4,CARDINAL,,,en,9.3
morning,morning,TIME,,,en,9.299999999999999
British,British,NORP,,,en,9.0
second,second,ORDINAL,,,en,9.0
Four,Four,CARDINAL,,,en,8.899999999999999
American,American,NORP,,,en,8.399999999999999
at least eight,at least eight,CARDINAL,,,en,8.3
ninth,ninth,ORDINAL,,,en,8.2
Irish,Irish,NORP,,,en,8.1
today,today,DATE,,,en,7.4
7,7,CARDINAL,,,en,7.200000000000001
2025,2025,DATE,,,en,6.9
9,9,CARDINAL,,,en,6.8999999999999995
2026,2026,DATE,,,en,6.8
11,11,CARDINAL,,,en,6.500000000000001
Castle Peak,Castle Peak,FAC,-0.0022522522522522444,0.40990990990991,en,6.5
Himalayan,Himalayan,NORP,,,en,6.300000000000001
Today,Today,DATE,,,en,6.199999999999999
night,night,TIME,,,en,5.800000000000001
Filipino,Filipino,LANGUAGE,,,en,5.8
more than 30,more than 30,CARDINAL,,,en,5.8
3,3,CARDINAL,,,en,5.700000000000001
13,13,CARDINAL,,,en,5.699999999999999
38,38,DATE,,,en,5.6
afternoon,afternoon,TIME,,,en,5.500000000000001
27,27,CARDINAL,,,en,5.5
Winter,Winter,DATE,,,en,5.3
at least four,at least four,CARDINAL,,,en,5.3
At least eight,At least eight,CARDINAL,,,en,5.0
Longs Pass,Longs Pass,FAC,,,en,5.0
his 50s,his 50s,DATE,,,en,5.0
36,36,CARDINAL,,,en,5.0
Austrian,Austrian,NORP,,,en,4.699999999999999
Winter Olympics,Winter Olympics,EVENT,,,en,4.5
the weekend,the weekend,DATE,,,en,4.3999999999999995
Philippine,Philippine,NORP,,,en,4.3
at least three,at least three,CARDINAL,,,en,4.3
Seven,Seven,CARDINAL,,,en,4.3
