,phrase,label,sentiment,subjectivity,language,count
the IAB Transparency &amp,the IAB Transparency &amp,ORG,-0.40750791510595186,1.5405224133165212,en,66.30000000000041
Avalanche,Avalanche,ORG,0.30657247840326135,1.2681356157120935,en,52.300000000000175
NHL,NHL,ORG,0.4685176851248285,1.1798832077403523,en,36.999999999999964
the Colorado Avalanche,the Colorado Avalanche,ORG,0.2392010510413759,1.3696363414563684,en,36.94999999999999
Colorado Avalanche,Colorado Avalanche,ORG,-0.013489750130084735,1.4621485959311267,en,26.89999999999995
The Colorado Avalanche,The Colorado Avalanche,ORG,0.30485786339200033,1.2762559915170373,en,24.89999999999996
Sierra Nevada,Sierra Nevada,ORG,-0.08439758826800105,0.42614331387267157,en,21.800000000000008
AP,AP,ORG,-0.0720924046288124,0.5988550365492114,en,20.599999999999998
iPhone,iPhone,ORG,0.07042300158242185,0.38612967145575827,en,13.800000000000004
Trump,Trump,ORG,0.4211965010934082,0.7821774445485783,en,9.700000000000001
Tahoe,Tahoe,ORG,-0.09098431119707714,0.4378438641736513,en,9.400000000000002
Reuters,Reuters,ORG,0.29465608465608456,0.5598677248677247,en,9.000000000000004
Avalanche Canada,Avalanche Canada,ORG,0.08839039748130659,0.44535615899252273,en,8.799999999999999
Colorado Hockey Now,Colorado Hockey Now,ORG,0.5671524356869182,1.554948914431673,en,8.700000000000001
CBS Interactive Inc. All,CBS Interactive Inc. All,ORG,0.023751023751023757,0.11164004914004916,en,7.3999999999999995
Stanley Cup,Stanley Cup,ORG,-0.0849704777241009,0.833788628172686,en,6.900000000000002
Avs,Avs,ORG,0.26262626262626254,1.2339777081156387,en,5.8000000000000025
Sierra Avalanche Center,Sierra Avalanche Center,ORG,0.00528048340548341,0.27231942440275775,en,4.8
Deen,Deen,ORG,0.11022446689113356,0.6692696809363474,en,4.500000000000001
SportsLine NHL,SportsLine NHL,ORG,0.18425925925925923,0.48456790123456783,en,4.5
Apple,Apple,ORG,0.11262282690854121,0.35610355253212395,en,4.2
Parks Canada,Parks Canada,ORG,0.17857142857142863,1.0297619047619049,en,4.199999999999999
Golden Knights,Golden Knights,ORG,0.8364898989898989,1.7656565656565648,en,4.000000000000001
The Sporting News,The Sporting News,ORG,0.35064102564102567,0.6637362637362637,en,3.9000000000000004
The Colorado Avalanche Information Center,The Colorado Avalanche Information Center,ORG,-0.04324324324324324,0.34954954954954964,en,3.7
SOS,SOS,ORG,-0.022113022113022116,0.37837837837837834,en,3.7
Predators,Predators,ORG,0.3514196014196014,0.7805077805077805,en,3.7
MILAN,MILAN,ORG,0.48324514991181666,0.4803791887125221,en,3.5999999999999996
Xinhua,Xinhua,ORG,0.05833333333333333,0.4916666666666667,en,3.5
RCMP,RCMP,ORG,-0.1,0.0642857142857143,en,3.5
the Nashville Predators,the Nashville Predators,ORG,0.5126633986928103,1.1448529411764703,en,3.400000000000001
Snowmobiler,Snowmobiler,ORG,-0.0019607843137254945,0.29117647058823526,en,3.4000000000000004
The New York Times,The New York Times,ORG,0.11914600550964184,0.3768939393939394,en,3.3
Castle Peak,Castle Peak,ORG,0.05387205387205387,0.14814814814814817,en,3.3
the Western Conference Final,the Western Conference Final,ORG,0.040956221198156666,1.2066820276497692,en,3.100000000000001
GM,GM,ORG,0.2202346041055718,0.5739002932551319,en,3.1000000000000005
Nazem Kadri,Nazem Kadri,ORG,0.29993386243386233,1.0105820105820105,en,2.8000000000000003
Edmonton,Edmonton,ORG,0.24134199134199127,0.7360209235209235,en,2.8000000000000003
Environment Canada,Environment Canada,ORG,0.2960356112141827,0.6509482580911152,en,2.8
Ball Arena,Ball Arena,ORG,0.06566725455614347,0.9491769547325104,en,2.7
the Montreal Canadiens,the Montreal Canadiens,ORG,0.23989898989898983,0.9817620650953984,en,2.7
the Toronto Maple Leafs,the Toronto Maple Leafs,ORG,-0.1254208754208754,1.0047699214365882,en,2.6999999999999997
Californias Sierra Nevada,Californias Sierra Nevada,ORG,0.10943223443223446,0.26282051282051283,en,2.6
KATHMANDU,KATHMANDU,ORG,-0.1575091575091575,0.005494505494505495,en,2.6
the Nevada County Sheriff's Office,the Nevada County Sheriff's Office,ORG,0.02051282051282052,0.6333333333333333,en,2.5999999999999996
Detroit Red Wings,Detroit Red Wings,ORG,0.026666666666666665,0.30777777777777776,en,2.5
Sierra Nevada Mountains,Sierra Nevada Mountains,ORG,-0.0975,0.44000000000000006,en,2.5
Netflix,Netflix,ORG,0.22727272727272724,0.6509090909090909,en,2.5
Deadly Sierra Nevada Avalanche,Deadly Sierra Nevada Avalanche,ORG,0.002787878787878778,0.3672727272727273,en,2.5
Kings,Kings,ORG,-0.07365079365079369,1.1933333333333336,en,2.4999999999999996
FBI,FBI,ORG,-0.13194444444444445,0.020833333333333332,en,2.4000000000000004
MacKinnon,MacKinnon,ORG,0.28472222222222227,0.7615740740740742,en,2.4
Habs,Habs,ORG,0.05787037037037038,0.08333333333333333,en,2.4
Ford,Ford,ORG,-0.057971014492753624,0.2463768115942029,en,2.3
MetaMask,MetaMask,ORG,0.06198347107438015,0.45454545454545453,en,2.2
Blockaid,Blockaid,ORG,-0.21590909090909088,0.34090909090909083,en,2.2
Colorado Avalanche News News,Colorado Avalanche News News,ORG,-0.25,1.1250000000000002,en,2.1999999999999997
the Minnesota Wild,the Minnesota Wild,ORG,0.8053030303030304,1.26969696969697,en,2.1999999999999997
Central Division,Central Division,ORG,0.21780303030303036,0.8702651515151516,en,2.1999999999999997
the Central Division,the Central Division,ORG,0.3757575757575758,0.690549728049728,en,2.1999999999999997
The Nashville Predators,The Nashville Predators,ORG,0.1332644628099174,1.2396694214876036,en,2.1999999999999997
Nashville Predators,Nashville Predators,ORG,-0.11309523809523808,0.23214285714285712,en,2.1
Davos,Davos,ORG,0.0,0.023809523809523808,en,2.1
Nylander,Nylander,ORG,-0.4742063492063493,0.76984126984127,en,2.0999999999999996
Google,Google,ORG,0.5265625,0.33125,en,2.0
DOJ,DOJ,ORG,-0.075,0.0,en,2.0
Sierra Nevada TragedyThe New York Times,Sierra Nevada TragedyThe New York Times,ORG,-0.010795454545454539,0.33272727272727276,en,2.0
the Los Angeles Kings,the Los Angeles Kings,ORG,-0.1633333333333334,1.309166666666667,en,1.9999999999999998
Makar,Makar,ORG,-0.48208333333333336,0.6795833333333334,en,1.9999999999999998
the Florida Panthers,the Florida Panthers,ORG,0.47666666666666674,0.6725000000000001,en,1.9999999999999998
Avalanche Studios,Avalanche Studios,ORG,0.011785714285714262,0.8584523809523811,en,1.9999999999999998
Toronto Maple Leafs,Toronto Maple Leafs,ORG,-0.07500000000000002,1.1250000000000002,en,1.9999999999999998
CTE,CTE,ORG,0.0,0.0,en,1.9000000000000001
AI,AI,ORG,0.11164274322169057,0.5548910154173312,en,1.9000000000000001
BBC,BBC,ORG,-0.052631578947368425,0.0,en,1.9
the California Post,the California Post,ORG,-0.04210526315789476,0.25263157894736843,en,1.9
Ladakh hill council,Ladakh hill council,ORG,0.017543859649122806,0.03508771929824561,en,1.9
BEDING,BEDING,ORG,-0.2105263157894737,0.026315789473684213,en,1.9
the Vancouver Canucks,the Vancouver Canucks,ORG,-0.0729665071770335,0.7260765550239234,en,1.9
Knights,Knights,ORG,0.5614035087719298,0.3333333333333333,en,1.9
CAIC,CAIC,ORG,0.13157894736842105,0.13157894736842105,en,1.9
The Nevada County Sheriff’s Office,The Nevada County Sheriff’s Office,ORG,-0.4824561403508772,0.2368421052631579,en,1.9
Deadliest US Avalanche,Deadliest US Avalanche,ORG,-0.22222222222222224,0.08333333333333333,en,1.8
the National Weather Service,the National Weather Service,ORG,0.0,0.18518518518518517,en,1.8
Interior,Interior,ORG,0.6666666666666666,0.5,en,1.8
CBS News',CBS News',ORG,0.2777777777777778,0.0,en,1.8
the Alberta Children's Hospital,the Alberta Children's Hospital,ORG,0.05555555555555556,0.1388888888888889,en,1.8
APL,APL,ORG,-0.017676767676767683,0.0,en,1.8
Reddit,Reddit,ORG,0.3136574074074074,0.2777777777777778,en,1.8
Resort,Resort,ORG,0.22222222222222224,0.0,en,1.8
Pic de l'Hortell,Pic de l'Hortell,ORG,0.0,0.0,en,1.8
Bad Hofgastein,Bad Hofgastein,ORG,-0.2592592592592592,0.15432098765432095,en,1.8
The Kittitas County Sheriff's Office,The Kittitas County Sheriff's Office,ORG,-0.02777777777777778,0.0,en,1.8
SPX,SPX,ORG,-0.0611111111111111,0.38055555555555554,en,1.8
the Nevada County Sheriff’s Office,the Nevada County Sheriff’s Office,ORG,0.2777777777777778,0.037037037037037035,en,1.8
Armed Police Force,Armed Police Force,ORG,0.0,0.0,en,1.8
CCTV,CCTV,ORG,-0.2824074074074074,0.27314814814814814,en,1.8
Kestenholz,Kestenholz,ORG,0.0,0.0,en,1.8
Haines,Haines,ORG,-0.06944444444444443,0.25925925925925924,en,1.8
Steam,Steam,ORG,0.21296296296296294,0.3611111111111111,en,1.8
Zojila Pass,Zojila Pass,ORG,-0.05555555555555556,0.0,en,1.8
NHL Game,NHL Game,ORG,-1.1111111111111112,0.8888888888888891,en,1.7999999999999998
the Detroit Red Wings,the Detroit Red Wings,ORG,0.3197530864197531,0.8101851851851853,en,1.7999999999999998
Minnesota Wild,Minnesota Wild,ORG,-0.06481481481481487,0.8487654320987654,en,1.7999999999999998
The Independent,The Independent,ORG,0.01680672268907563,0.2921335200746965,en,1.7000000000000002
Big Tech,Big Tech,ORG,0.01680672268907563,0.2921335200746965,en,1.7000000000000002
Cardano,Cardano,ORG,0.045900178253119414,0.4266934046345811,en,1.7
Bednar,Bednar,ORG,0.1516042780748663,0.19563279857397506,en,1.7
the Colorado Avalanche's,the Colorado Avalanche's,ORG,0.04411764705882357,0.29411764705882354,en,1.7
Avalanche Foundation,Avalanche Foundation,ORG,-0.23529411764705885,0.2463235294117647,en,1.7
Pittsburgh Penguins,Pittsburgh Penguins,ORG,-0.11764705882352942,0.029411764705882356,en,1.7
the Edmonton Oilers 2-1,the Edmonton Oilers 2-1,ORG,0.0,0.0,en,1.7
newsweek.com,newsweek.com,ORG,0.0,0.0,en,1.7
Family Sports,Family Sports,ORG,0.007352941176470586,0.19607843137254902,en,1.7
Maple Leafs',Maple Leafs',ORG,0.029411764705882363,0.3235294117647059,en,1.7
Warner Bros. Television,Warner Bros. Television,ORG,0.24999999999999997,0.390625,en,1.6
