,Mitigation,Impacts,Hazard,Causes,Adaptation,Invalid
2025-10-01,0.0,0.0,0.7,0.0,0.0,0.7
2025-10-06,0.0,0.0,0.0,0.0,0.0,0.7
2025-10-08,0.0,0.8,0.8,0.0,0.0,0.0
2025-10-12,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-13,0.0,0.0,0.0,0.0,0.0,1.8
2025-10-14,0.0,0.0,0.0,0.0,0.0,5.2
2025-10-16,0.0,0.0,0.0,0.0,0.0,3.4000000000000004
2025-10-17,0.0,0.0,0.0,0.0,0.0,4.5
2025-10-18,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-19,0.0,0.0,0.0,0.0,0.0,2.8
2025-10-20,0.0,0.0,0.0,0.0,0.0,2.8
2025-10-21,0.0,0.0,0.0,0.0,0.0,3.4000000000000004
2025-10-22,0.0,0.0,0.0,0.0,0.0,2.6
2025-10-23,0.0,0.0,0.0,0.0,0.0,2.7
2025-10-24,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-27,0.0,0.0,0.0,0.0,0.0,1.8
2025-10-28,0.0,0.0,0.0,0.0,0.0,2.5
2025-10-29,0.0,0.0,0.9,0.0,0.0,4.1000000000000005
2025-10-30,0.0,0.0,0.0,0.0,0.0,3.4
2025-10-31,0.0,0.0,0.0,0.0,0.0,2.7
2025-11-02,7.700000000000001,0.9,8.600000000000001,0.9,0.0,2.9
2025-11-03,2.6,0.9,3.3000000000000003,0.0,2.4000000000000004,2.5
2025-11-04,6.0,2.4000000000000004,5.6,1.6,0.0,0.6
2025-11-05,0.7,0.0,0.0,0.0,0.0,2.7
2025-11-06,2.5,0.0,0.8,0.0,0.0,4.5
2025-11-07,0.0,0.0,0.0,0.0,0.0,4.6000000000000005
2025-11-08,0.0,0.0,0.0,0.0,0.0,2.7
2025-11-09,0.0,0.0,0.0,0.0,0.0,0.9
2025-11-10,0.0,0.0,0.0,0.0,0.0,9.3
2025-11-11,0.0,0.0,0.0,0.0,0.0,3.6
2025-11-13,0.0,0.0,0.0,0.0,0.0,1.6
2025-11-15,0.0,0.0,0.0,0.0,0.0,0.7
2025-11-17,0.0,0.0,0.0,0.0,0.0,1.4
2025-11-18,0.0,0.0,0.0,0.8,0.0,0.0
2025-11-19,0.0,0.0,0.0,0.0,0.0,0.8
2025-11-20,0.0,0.0,0.0,0.0,0.0,2.3
2025-11-21,0.0,0.0,0.0,0.0,0.0,1.4
2025-11-22,0.0,0.0,0.0,0.0,0.0,0.8
2025-11-23,0.0,0.0,0.0,0.0,0.0,0.8
2025-11-24,0.0,0.0,0.0,0.0,0.0,1.5
2025-11-25,0.0,0.0,0.0,0.0,0.0,2.3
2025-11-26,0.0,0.0,0.0,0.0,0.0,0.7
2025-11-27,0.0,0.7,0.0,0.0,0.0,2.2
2025-11-28,0.0,0.0,0.0,0.0,0.0,6.8
2025-11-29,0.0,0.0,0.0,0.0,0.0,5.2
2025-11-30,0.0,0.0,0.0,0.0,0.0,2.8
2025-12-01,0.0,0.0,0.0,0.0,0.0,3.7
2025-12-02,0.0,0.0,0.0,0.0,0.0,2.2
2025-12-03,0.0,0.0,0.0,0.0,0.0,3.0999999999999996
2025-12-04,0.0,0.0,0.0,0.0,0.0,4.6
2025-12-05,0.0,0.0,0.8,0.0,0.0,4.5
2025-12-07,0.0,0.0,0.0,0.0,0.0,0.8
2025-12-08,0.0,0.7,0.0,0.0,0.0,0.0
2025-12-09,0.0,0.7,0.0,0.0,0.0,0.0
2025-12-10,0.0,0.0,0.0,0.8,0.0,3.5
2025-12-11,0.0,0.0,0.0,0.0,0.0,4.5
2025-12-12,0.0,0.0,0.0,0.7,0.0,5.900000000000001
2025-12-13,0.0,0.0,0.0,0.0,0.0,0.8
2025-12-14,0.0,0.7,0.0,0.0,0.0,2.3
2025-12-15,0.8,0.0,0.0,0.0,0.0,0.7
2025-12-17,0.0,0.0,0.8,0.0,0.0,2.0999999999999996
2025-12-18,0.0,0.0,0.0,0.8,0.0,2.3
